id;email;first_name;last_name;role;status;address
1;Wilson.Skiles@gmail.com;Lawson;Green;ADMIN;UNBLOCK;SQL
2;Noble61@gmail.com;Ramon;Armstrong;USER;BLOCK;Hong Kong alarm
3;Quinn.McGlynn52@gmail.com;Chaim;Gerlach;USER;UNBLOCK;fuchsia Administrator Gorgeous
4;Rowland9@hotmail.com;Mathilde;Runolfsson;ADMIN;UNBLOCK;Tennessee deposit transmit
5;Issac78@gmail.com;Aurore;Bartoletti;ADMIN;UNBLOCK;Electronics
6;Chris_Schaden@hotmail.com;Roderick;Oberbrunner;USER;BLOCK;FTP Rustic
7;Derick.Reynolds82@gmail.com;Carlee;Lemke;ADMIN;BLOCK;override
8;Jake88@hotmail.com;Darien;Hilll;USER;BLOCK;Rustic Cotton Table
9;Emery40@hotmail.com;Treva;Orn;ADMIN;UNBLOCK;backing up Savings Account
10;Kaleb.Gerhold@hotmail.com;Rosemarie;Gerlach;USER;BLOCK;Web
